配った (くばった);Phát, phân phát
付き合って (つきあって);Hẹn hò
サイズ=大きさ;Kích thước
暗記=覚えて;Ghi nhớ
得意=とても上手な;Giỏi
欠点=よくないところ;Khuyết điểm
どならない=大声で怒らない;Không quát mắng
進歩;Tiến bộ
話しかける;Bắt chuyện
交流;Giao lưu
渋滞;Kẹt xe
にこにこ;Cười tươi
容器 (ようき);Đồ đựng
比べた (くらべた);So sánh
複数 (ふくすう);Nhiều, số nhiều
血圧 (けつあつ);Huyết áp
夕日 (ゆうひ);Hoàng hôn
難しい (むずかしい);Khó
件 (けん);Vụ việc
横断 (おうだん);Băng qua
吸った (すった);Hít, hút vào
短い (みじかい);Ngắn
胃 (い);Dạ dày
笑顔 (えがお);Khuôn mặt cười
黒板 (こくばん);Bảng đen
一般的 (いっぱんてき);Thông thường
親戚 (しんせき);Họ hàng
偶然 (ぐうぜん);Tình cờ
迷って (まよって);Phân vân
ぴったり;Vừa vặn
干した (ほした);Phơi
レシピ;Công thức
登場 (とうじょう);Xuất hiện
どきどき;Hồi hộp
希望 (きぼう);Mong muốn
ほえる;Sủa
追い越す (おいこす);Vượt qua
与える=あげる;Cho, trao
ずいぶん=非常に;Rất nhiều
指定=決められた;Chỉ định
不安=心配;Bất an
スケジュール=予定;Lịch trình
発展;Phát triển
だく;Ôm
原料;Nguyên liệu
異常;Bất thường
重なる (かさなる);Trùng lặp
自然 (しぜん);Tự nhiên
秒 (びょう);Giây
残り (のこり);Phần còn lại
増減 (ぞうげん);Tăng giảm
通知 (つうち);Thông báo
生えた (はえた);Mọc
恋しく (こいしく);Nhớ nhung
郵送 (ゆうそう);Gửi bưu điện
娘 (むすめ);Con gái
性格 (せいがく);Tính cách
命令 (めいれい);Mệnh lệnh
預け (あずけ);Gửi (tiền)
予想 (よそう);Dự đoán
高価 (こうか);Đắt tiền
報告 (ほうこく);Báo cáo
あたった;Trúng, va trúng
無駄 (むだ);Lãng phí
なるべく;Cố gắng, nếu có thể
翌日 (よくじつ);Ngày hôm sau
チャレンジ;Thử thách
土地 (とち);Đất đai
このあいだ;Vừa rồi, hôm nọ
ばらばら;Rời rạc, lộn xộn
意志 (いし);Ý chí
おつかれさま;Anh/chị vất vả rồi
退屈=つまらなかった;Buồn chán
ふれないで=触らないで;Không chạm vào
機会=チャンス;Cơ hội
きつかった=大変だった;Khó khăn
納得=とてもよく分かった;Thấu hiểu
集合;Tập hợp
中古;Đồ cũ
追い抜く (おいぬく);Vượt qua
見本 (みほん);Mẫu
だるい;Mệt mỏi
裏 (うら);Mặt sau
呼吸 (こきゅう);Hô hấp
悲しそう (かなしそう);Có vẻ buồn
駐車 (ちゅうしゃ);Đỗ xe
逃げて (にげて);Chạy trốn
努力 (どりょく);Nỗ lực
過去 (かこ);Quá khứ
動作 (どうさ);Động tác
泊まり (とまり);Ở lại, ngủ lại
規則 (きそく);Quy tắc
暖かい (あたたかい);Ấm áp
薬局 (やっきょく);Hiệu thuốc
重ねて (かさねて);Chồng lên
伝言 (でんごん);Tin nhắn
延期 (えんき);Hoãn lại
枯れて (かれて);Héo
訓練 (くんれん);Huấn luyện
セット;Đặt (bào thức)
もったいない;Lãng phí
材料 (ざいりょう);Nguyên liệu
愛用者 (あいようしゃ);Người dùng yêu thích
渋滞 (じゅうたい);Tắc đường
効果 (こうか);Hiệu quả
ベラベラ;Trôi chảy
身につけたい;Muốn học được
さまざま=いろいろな;Đa dạng
報告=知らせて;Báo cáo
絶対に=かならず;Nhất định
おしまい=おわり;Kết thúc
サボる=遊びたくて学校を休む;Trốn học
オーバー;Vượt quá
欠点;Khuyết điểm
親しい;Thân thiết
詰める;Nhét, đóng gói
支給;Chi trả
