Ｖてから、;Sau khi làm ~ <br>しごとが終わってから、かいものへいきます。→ Sau khi làm xong, tôi đi mua sắm.
たりたりする;Lúc thì ~ lúc thì ~ <br>うたをうたったりダンスをしたりします。→ Lúc thì hát, lúc thì nhảy.
Ｖている;Đang làm, đã làm <br>べんきょうしています。→ Tôi đang học.
Ｖたことがある;Đã từng làm V <br>にほんへいったことがあります。→ Tôi đã từng đi Nhật.
Ｖないことがある;Chưa từng làm V <br>すしをたべないことがあります。→ Tôi chưa từng ăn sushi.
ややなど;Và ~ và ~ còn nữa <br>パンやごはんやラーメンなどがすきです。→ Tôi thích bánh mì, cơm, mì ramen,…
ので;Bởi vì <br>あめなのででかけません。→ Vì trời mưa nên không đi đâu.
でしょう？;Có lẽ ~ ? <br>あしたはいいてんきでしょう？→ Mai chắc trời sẽ đẹp ha?
たぶんでしょう;Chắc có lẽ <br>たぶんかれはこないでしょう。→ Chắc anh ấy sẽ không đến.
とおもう;Nghĩ rằng <br>それはいいアイデアだとおもいます。→ Tôi nghĩ đó là một ý tưởng hay.
といいます;"Nói là <br>かれは「ありがとう」といいます。→ Anh ấy nói ""cảm ơn""."
といいました;"Đã nói rằng <br>かれは「いきます」といいました。→ Anh ấy đã nói ""tôi sẽ đi""."
まえに;Trước khi <br>ごはんをたべるまえにてをあらいます。→ Rửa tay trước khi ăn cơm.
とき;Lúc / khi <br>ねるときにほんをよみます。→ Tôi đọc sách lúc đi ngủ.
たあとで;Sau khi ~ <br>べんきょうしたあとでゲームをします。→ Sau khi học tôi chơi game.
までに(N5);Trước thời điểm <br>ごご３じまでにレポートをだします。→ Nộp báo cáo trước 3 giờ chiều.
と1;Hễ mà <br>ボタンをおすとドアがあきます。→ Hễ bấm nút thì cửa mở.
ても／でも;Dù ~ nhưng~ <br>さむくてもさんぽします。<br>→ Dù trời lạnh, tôi vẫn đi dạo.
たら;Nếu / sau khi <br>おかねがあったら、りょこうします。<br>→ Nếu có tiền, tôi sẽ đi du lịch.
Ｖてあげる;Mình Làm cho ai đó <br>わたしはともだちにプレゼントをあげました。<br>→ Tôi tặng quà cho bạn.
Ｖてくれる;Ai đó làm cho mình <br>ともだちがてつだってくれました。<br>→ Bạn đã giúp tôi.
Ｖてもらう;Được nhận từ ai đó. <br>せんせいにおしえてもらいました。<br>→ Tôi được thầy giáo giảng bài cho.
がわかる;Hiểu ~ <br>にほんごがわかります。<br>→ Tôi hiểu tiếng Nhật.
です＝だろう＝でしょう;Có lẽ ~ <br>かれはがくせいでしょう。<br>→ Có lẽ anh ấy là học sinh.<br>かれはがくせいだろう。→ Anh ấy chắc là học sinh.
です＝である;Là <br>わたしはエンジニアである。<br>→ Tôi là kỹ sư.
と2;Cùng Với / và <br>ともだちとえいがをみます。<br>→ Tôi xem phim cùng với bạn.
ができる;Có thể làm <br>ギターをひくことができます。<br>→ Tôi có thể chơi guitar.
