～し、～し、それで／それに;Liệt kê lý do, kết hợp → và vì thế<br>勉強もできるし、性格もいいし、それで人気があります。<br>天気もいいし、時間もあるし、それにお金もある。
～受身（Bị động）;Bị / được làm gì đó bởi người khác<br>犬に手をかまれました。→ Tôi bị chó cắn tay.<br>父にしかられました。→ Tôi bị bố mắng.
～Ｖ禁止;Cấm làm gì đó<br>入らないでください。→ Xin đừng vào.<br>触らないで！→ Đừng chạm vào nhé!
～Ｖ可能形;Thể hiện khả năng<br>漢字が読めます。→ Tôi có thể đọc chữ Hán.<br>泳げますか？→ Bạn bơi được không?
～Ｖ使役;Khiến / bắt ai đó làm gì<br>母は弟に野菜を食べさせました。→ Mẹ bắt em ăn rau.<br>先生は学生に宿題をやらせました。→ Thầy bắt học sinh làm bài.
～Ｖ使役受身;Bị bắt làm gì đó<br>先生に作文を書かされました。→ Tôi bị thầy bắt viết văn.<br>両親に勉強させられました。→ Tôi bị cha mẹ bắt học.
～ても;Dù… vẫn…<br>雨が降っても行きます。→ Dù mưa tôi vẫn đi.<br>高くても買います。→ Dù đắt vẫn mua.
～てしまう;Hoàn tất / lỡ làm / tiếc nuối<br>財布を忘れてしまいました。→ Tôi đã lỡ quên ví.<br>ケーキを全部食べてしまいました。→ Lỡ ăn hết bánh rồi.
～Ｖてしまった。;Đã lỡ làm gì rồi (quá khứ)<br>遅刻してしまった。→ Tôi đã đi trễ mất rồi.<br>重要な書類をなくしてしまった。→ Tôi làm mất tài liệu quan trọng.
～みたい;Trông giống / giống như<br>彼は猫みたいに静かだ。→ Anh ấy yên lặng như mèo.<br>雨が降りそうみたいです。→ Trông như sắp mưa.
～ながら;Vừa làm A vừa làm B<br>音楽を聞きながら勉強します。→ Vừa nghe nhạc vừa học.<br>テレビを見ながら食べます。→ Vừa ăn vừa xem TV.
～のに;Dù / mặc dù… nhưng…<br>雨が降っているのに出かけます。→ Dù mưa vẫn đi ra ngoài.<br>元気なのに学校を休みました。→ Dù khỏe vẫn nghỉ học.
～はずです;Chắc chắn (dựa trên lý do, suy luận)<br>彼は来るはずです。→ Chắc chắn anh ấy sẽ đến.<br>明日は晴れるはずです。→ Chắc mai trời sẽ nắng.
～はずがない;Không thể nào / không đời nào<br>彼がそんなことをするはずがない。→ Anh ta không thể làm thế.<br>子どもがそんなに食べるはずがない。→ Trẻ con không thể ăn vậy.
～ずに;Không làm gì mà vẫn…<br>朝ご飯を食べずに出かけました。→ Ra ngoài không ăn sáng.<br>パスポートを持たずに空港へ行った。→ Đến sân bay không mang hộ chiếu.
～ないで;Làm B mà không làm A<br>勉強しないでテストを受けました。→ Thi mà không học.<br>傘を持たないで出かけました。→ Ra ngoài không mang dù.
～かどうか;Liệu có… hay không<br>彼が来るかどうかわかりません。→ Không biết anh ấy có đến không.<br>時間があるかどうか聞いてください。→ Hỏi xem có thời gian không.
～という;"Gọi là / tên là<br>「ありがとう」という言葉が好きです。→ Thích từ “cảm ơn”.<br>日本では「和食」という料理が有名です。→ Món gọi là ""washoku"" nổi tiếng ở Nhật."
～やすい;Dễ làm gì đó<br>このペンは書きやすいです。→ Cây bút dễ viết.<br>このドアは開けやすいです。→ Cửa dễ mở.
～にくい;Khó làm gì đó<br>この本は読みにくいです。→ Quyển sách này khó đọc.<br>このドアは開けにくいです。→ Cửa này khó mở.
～てある;Đã được làm gì sẵn (trạng thái)<br>テーブルの上にケーキが置いてあります。→ Có bánh được đặt sẵn trên bàn.<br>ドアが閉めてあります。→ Cửa đã được đóng sẵn.
～Ｖている;Đang làm / trạng thái hiện tại<br>彼は勉強しています。→ Anh ấy đang học.<br>窓が開いています。→ Cửa sổ đang mở.
～あいだに;Trong khi / suốt thời gian<br>寝ているあいだに電話が鳴りました。→ Trong lúc ngủ thì điện thoại reo.<br>日本にいるあいだに色々な所へ行きました。→ Khi ở Nhật tôi đã đi nhiều nơi.
～Ｖてほしい／Ｖてもらう;Muốn ai đó làm gì cho mình<br>父にパソコンを直してほしいです。→ Muốn bố sửa máy tính cho.<br>先生に説明してもらいました。→ Được thầy giáo giải thích.
～たところ;Vừa mới / sau khi làm thì…<br>ドアを開けたところ、猫がいました。→ Vừa mở cửa ra thì thấy mèo.<br>駅に着いたところ、電車が出ました。→ Vừa tới ga thì tàu rời đi.
～ことにする;Quyết định làm gì<br>毎朝ジョギングすることにしました。→ Quyết định chạy bộ mỗi sáng.<br>野菜を食べることにしています。→ Tôi cố gắng ăn rau hằng ngày.
～ことになっている;Quy định / dự kiến / được quyết định<br>授業は9時に始まることになっています。→ Tiết học bắt đầu lúc 9h.<br>来週、会議が行われることになっています。→ Dự kiến có cuộc họp tuần sau.
～とおりに;Theo như / đúng như…<br>説明書のとおりに作ってください。→ Làm theo hướng dẫn nhé.<br>地図のとおりに進んだら、駅に着きました。→ Đi theo bản đồ thì đến ga.
～ところに／ところへ;Đúng lúc / tại nơi / thời điểm xảy ra<br>出かけようとしたところに電話がきました。→ Chuẩn bị ra ngoài thì có điện thoại.<br>公園に着いたところへ友達が来た。→ Đến công viên thì bạn đến.
～もの;Giải thích lý do / nhấn mạnh nhẹ nhàng<br>子どもですもの、分からなくてもいいです。→ Vì là trẻ con nên chưa hiểu cũng được.<br>今日は寒いもの、出かけたくないです。→ Vì trời lạnh nên không muốn ra ngoài.
～ものか;Tuyệt đối không / phủ định mạnh<br>行くものか！→ Ai mà đi chứ! (nhấn mạnh phủ định)<br>そんな人を信じるものですか！→ Làm sao mà tin người như thế được!
～ものなら;Nếu có thể làm / giả sử được…<br>行けるものなら行きたい。→ Nếu đi được thì muốn đi.<br>会えるものなら会いたい。→ Nếu có thể gặp thì muốn gặp.
～ものの;Mặc dù / nhưng… (trái ngược)<br>勉強したものの、試験は難しかったです。→ Dù học rồi, bài vẫn khó.<br>申し込んだものの、行けなくなった。→ Dù đã đăng ký, lại không thể đi.
～ように;Để / theo cách / giống như…<br>忘れないようにメモしてください。→ Ghi chú lại để không quên.<br>健康になるように運動しています。→ Tập thể dục để khỏe mạnh.
～ために;Vì / để làm gì đó<br>健康のために野菜を食べています。→ Ăn rau vì sức khỏe.<br>試験に合格するために頑張っています。→ Cố gắng để thi đậu.
～場合;Trường hợp / khi…<br>雨の場合はイベントが中止になります。→ Nếu mưa thì hủy sự kiện.<br>火事の場合はここから逃げてください。→ Trường hợp cháy hãy thoát ra từ đây.
～たほうがいい／ないほうがいい;Nên / không nên (lời khuyên)<br>もっと勉強したほうがいいです。→ Nên học thêm.<br>夜遅く食べないほうがいいですよ。→ Không nên ăn khuya.
～んです;Giải thích lý do / làm rõ nội dung<br>熱があるんです。→ Tôi bị sốt đó.<br>宿題を忘れたんです。→ Tôi quên bài tập mất rồi.
～すぎる;Quá mức / quá… → gây hệ quả<br>食べすぎて気持ち悪いです。→ Ăn quá nên thấy khó chịu.<br>働きすぎて病気になりました。→ Làm việc quá sức nên bị bệnh.
～Ｖ可能形ようになる;Trở nên có thể làm gì đó<br>日本語が話せるようになりました。→ Tôi đã nói được tiếng Nhật.<br>肉が食べられるようになった。→ Tôi đã có thể ăn được thịt.
～Ｖる/ないようにする;Cố gắng làm / tránh làm gì đó<br>毎日運動するようにしています。→ Tôi cố gắng tập thể dục mỗi ngày.<br>甘い物を食べないようにしています。→ Tôi cố tránh ăn đồ ngọt.
～なさい;Ra lệnh nhẹ nhàng (lịch sự)<br>宿題をしなさい。→ Làm bài tập đi.<br>早く寝なさい。→ Ngủ sớm đi nhé.
Ｖるようになる;Bắt đầu có thể / thay đổi thói quen<br>一人で料理できるようになりました。→ Tôi đã biết nấu ăn một mình.<br>毎朝早く起きるようになった。→ Tôi đã quen dậy sớm mỗi sáng.
～後で;Sau khi làm gì đó<br>食事の後で映画を見ます。→ Sau khi ăn thì xem phim.<br>宿題の後でゲームをします。→ Sau khi làm bài thì chơi game.
～後;Sau<br>会議の後に食事をしました。→ Sau cuộc họp thì ăn uống.<br>授業の後で先生に質問しました。→ Sau giờ học tôi hỏi thầy.
～Ｖたらいいですか;Tôi nên làm gì? (hỏi lời khuyên)<br>どこへ行ったらいいですか？→ Tôi nên đi đâu?<br>何を食べたらいいですか？→ Tôi nên ăn gì?
～Ｖばいいですか;Tôi nên làm gì? (lịch sự hơn ～たら)<br>どうすればいいですか？→ Tôi nên làm gì đây?<br>何をすればいいですか？→ Tôi nên làm gì?
まだ～Ｖている;Vẫn còn đang làm / trạng thái tiếp tục<br>まだ勉強しています。→ Tôi vẫn đang học.<br>まだ雨が降っています。→ Trời vẫn đang mưa.
まだ～Ｖていない;Vẫn chưa làm gì đó<br>まだ食べていません。→ Tôi vẫn chưa ăn.<br>まだ仕事が終わっていません。→ Vẫn chưa xong việc.
～と読む;Đọc là / gọi là<br>この漢字は「山」と読みます。→ Chữ Hán này đọc là “yama”.<br>これは「日本」と読みます。→ Đây đọc là “Nihon”.
～と書いてある;Được viết là / có ghi là<br>看板に「入り口」と書いてあります。→ Trên biển có ghi “cổng vào”.<br>ノートに「宿題」と書いてあります。→ Trong vở có ghi là “bài tập”.
～どういう意味ですか;Có nghĩa là gì?<br>「頑張る」はどういう意味ですか？→ “Ganbaru” nghĩa là gì?<br>「和食」はどういう意味ですか？→ “Washoku” có nghĩa gì?
～という意味です;Có nghĩa là…<br>「頑張る」という意味は「努力すること」です。→ “Ganbaru” nghĩa là cố gắng.<br>「和食」という意味は「日本の料理」です。→ “Washoku” nghĩa là món Nhật.
～と言いました;Đã nói rằng…<br>先生は明日休みだと言いました。→ Thầy nói ngày mai nghỉ học.<br>母は早く帰ってきてと言いました。→ Mẹ bảo tôi về sớm.
～伝えていただけませんか;Xin nhắn lại giúp…<br>田中さんに「遅れる」と伝えていただけませんか？→ Nhắn giúp tôi là tôi sẽ trễ với Tanaka.<br>先生に「ありがとう」と伝えていただけませんか？→ Nhờ bạn gửi lời cảm ơn đến thầy giúp tôi.
～Ｖて来る;Làm và hướng tới vị trí hiện tại<br>駅まで歩いてきました。→ Tôi đi bộ tới ga.<br>部屋に戻ってきました。→ Tôi vừa quay về phòng.
～たばかり;Vừa mới làm gì đó<br>さっき食べたばかりです。→ Tôi vừa ăn xong lúc nãy.<br>学校から帰ったばかりです。→ Vừa mới về từ trường.
～Ｖ尊敬;Kính ngữ (tôn trọng người khác)<br>社長がお話になります。→ Giám đốc nói chuyện (kính ngữ).<br>先生が来られました。→ Thầy đã đến.
～Ｖ謙譲語;Khiêm nhường ngữ<br>私が先生に差し上げます。→ Tôi biếu thầy giáo.<br>
～のに、～;Mặc dù… nhưng…<br>雨が降っているのに出かけました。→ Dù mưa nhưng vẫn ra ngoài.<br>疲れているのに働き続けました。→ Dù mệt vẫn tiếp tục làm việc.
～によって;Bởi / tuỳ vào / do ảnh hưởng từ<br>地域によって習慣が違います。→ Tùy vùng mà tập quán khác nhau.<br>この作品は有名な画家によって描かれました。→ Tác phẩm này do hoạ sĩ nổi tiếng vẽ.
Ｖるようにしている;Đang cố gắng / duy trì hành vi<br>毎日日本語を勉強するようにしています。→ Tôi cố gắng học tiếng Nhật hàng ngày.<br>健康のために運動するようにしています。→ Tôi duy trì việc tập thể dục.
Ｖないようにしている;Đang tránh làm gì đó<br>夜遅く食べないようにしている。→ Tôi đang cố tránh ăn khuya.<br>タバコを吸わないようにしている。→ Tôi đang cố bỏ thuốc lá.
（可能形）るようになった;Đã trở nên có thể làm gì đó<br>漢字が書けるようになりました。→ Giờ tôi đã viết được chữ Hán.<br>一人で料理できるようになった。→ Tôi đã biết nấu ăn một mình.
（可能形）ないようになった;Không còn có thể làm / không còn làm được<br>肉が食べられないようになった。→ Không còn ăn được thịt nữa.<br>外で遊べないようになりました。→ Không còn được chơi ngoài trời.
Ｖるようにしてください;Hãy cố gắng làm gì đó (chỉ dẫn / yêu cầu nhẹ)<br>時間を守るようにしてください。→ Hãy cố gắng đúng giờ.<br>健康のために野菜を食べるようにしてください。→ Cố gắng ăn rau vì sức khỏe.
Ｖないようにしてください;Hãy tránh làm gì đó<br>夜遅く食べないようにしてください。→ Hãy tránh ăn khuya.<br>危ない所へ行かないようにしてください。→ Đừng đi đến nơi nguy hiểm.
～ことができる;Có thể làm gì đó<br>日本語を話すことができます。→ Tôi có thể nói tiếng Nhật.<br>この駅で乗り換えることができます。→ Có thể đổi tàu ở ga này.
～ようだ／～みたい;Có vẻ như / hình như / giống như…<br>外は雨が降っているようだ。→ Hình như bên ngoài đang mưa.<br>彼は猫みたいに静かです。→ Anh ấy yên tĩnh như mèo.
～そうです（trông có vẻ）;Trông có vẻ như…<br>このケーキはおいしそうです。→ Bánh này trông ngon.<br>彼女は楽しそうに話しています。→ Cô ấy nói chuyện có vẻ vui.
～そうです（nghe nói）;Nghe nói…<br>天気予報によると明日は晴れるそうです。→ Nghe nói mai trời nắng.<br>ニュースによると台風が近づいているそうです。→ Nghe tin tức bảo có bão đến gần.
～Ｖてしまった;Lỡ làm gì / đã làm rồi (với tiếc nuối)<br>財布を忘れてしまった。→ Tôi lỡ quên ví mất rồi.<br>食べすぎてしまいました。→ Tôi đã lỡ ăn quá nhiều.
～Ｖないでください;Đừng làm gì đó (câu cấm nhẹ nhàng)<br>入らないでください。→ Xin đừng vào.<br>騒がないでください。→ Xin đừng gây ồn.
～Ｖてはいけません;Không được làm / cấm<br>ここでタバコを吸ってはいけません。→ Không được hút thuốc ở đây.<br>このドアを開けてはいけません。→ Không được mở cửa này.
～Ｖなければいけません;Phải làm gì đó<br>宿題を出さなければいけません。→ Phải nộp bài tập.<br>明日早く起きなければいけません。→ Phải dậy sớm ngày mai.
～Ｖないといけません;Nếu không làm thì không được<br>返事をしないといけません。→ Nếu không trả lời thì không được.<br>時間に間に合わないといけません。→ Không được trễ giờ.
～Ｖばいいです;Nên / làm thế là được<br>この道をまっすぐ行けばいいです。→ Cứ đi thẳng đường này là được.<br>疲れたら休めばいいです。→ Nếu mệt thì cứ nghỉ.
～Ｖたほうがいいです;Nên làm gì đó<br>もっと勉強したほうがいいです。→ Bạn nên học thêm.<br>野菜を食べたほうがいいですよ。→ Nên ăn rau.
～Ｖないほうがいいです;Không nên làm gì đó<br>夜遅く食べないほうがいいです。→ Không nên ăn khuya.<br>無理しないほうがいいです。→ Không nên cố quá sức.
～Ｖたり、～Ｖたりする;Liệt kê các hành động<br>日曜日は本を読んだり、映画を見たりします。→ Chủ nhật tôi đọc sách và xem phim.<br>旅行では写真を撮ったり、買い物をしたりします。→ Tôi chụp ảnh và mua sắm trong chuyến đi.
～Ｖようと思っている;Đang định làm / đã có ý định<br>日本へ留学しようと思っています。→ Tôi đang định du học sang Nhật.<br>来週から運動しようと思っている。→ Tôi định bắt đầu tập thể dục từ tuần sau.
～Ｖようにお願いする;Nhờ ai đó làm gì đó (mẫu lịch sự)<br>先生に静かにするようにお願いしました。→ Tôi đã nhờ thầy giữ yên lặng.<br>母に早く帰るようにお願いした。→ Tôi nhờ mẹ về sớm.
～Ｖように言う;Nói rằng phải làm gì<br>先生が宿題を出すように言いました。→ Thầy bảo nộp bài tập.<br>母が掃除するように言いました。→ Mẹ bảo tôi dọn phòng.
～こと;Việc… / danh từ hoá hành động<br>運動することは健康にいいです。→ Việc vận động có lợi cho sức khỏe.<br>日本語を勉強することが好きです。→ Tôi thích việc học tiếng Nhật.
～の;Cách nói nhẹ nhàng, mô tả / giải thích<br>これは私が書いたのです。→ Đây là cái tôi đã viết.<br>学校に行くの？→ Cậu đi học à? (thân mật)
～Ｖたらどうですか？;Gợi ý nhẹ nhàng / đề xuất<br>病院に行ったらどうですか？→ Sao bạn không đi khám?<br>勉強したらどうですか？→ Sao bạn không học thêm nhỉ?
