二日間,ふつかかん「NHỊ NHẬT GIAN」 Khoảng 2 ngày
報じる,"ほうじる「BÁO」 đưa tin, thông báo
NHKは地震の発生を速報で報じた。
Đài NHK đã đưa tin khẩn cấp về trận động đất
速報 そくほう「TỐC BÁO」 thông báo khẩn, tin nóng, breaking news "
速報,"そくほう「TỐC BÁO」 thông báo khẩn, tin nóng, breaking news 
NHKは地震の発生を速報で報じた。
Đài NHK đã đưa tin khẩn cấp về trận động đất"
風向,"ふうこう「PHONG HƯỚNG」 hướng gió
風向が北から南に変わった。
Hướng gió thay đổi từ hướng bắc sang hướng nam"
風速,"ふうそく「PHONG TỐC」 tốc độ gió
離陸には風速の確認が必要です。
Cần kiểm tra tốc độ gió trước khi cất cánh"
視程,"してい「THỊ TRÌNH」 tầm nhìn xa
視程が回復するまで離陸を見合わせる。
Hoãn cất cánh cho đến khi tầm nhìn được cải thiện"
降水,"こうすい「HÀNG THỦY」 ◆ Mưa rơi;
A: 今日の天気はどう？

B: 午後から降水の可能性があるって。傘を持って行ったほうがいいよ。"
雲量,"うんりょう「VÂN LƯỢNG」 ◆ Lượng mây,Độ che phủ của mây
A: 今日、星が見えるかな？
星 ほし「TINH」 ngôi sao, sao
B: うーん、雲量が多いから、ちょっと難しいかも。"
雲高,"うんこう 「VÂN CAO」 độ cao của mây
A: 飛行機ってどのくらいの高さを飛んでるの？
(Máy bay bay ở độ cao khoảng bao nhiêu vậy?)

B: 雲高よりずっと高いところを飛んでるよ。
(Máy bay bay cao hơn nhiều so với độ cao của mây.)"
温度,"おんど「ÔN ĐỘ」 Nhiệt độ
A: 今日、外は暑いね。
(Hôm nay ngoài trời nóng thật.)

B: うん、温度は35度まで上がったらしいよ。
(Ừ, nghe nói nhiệt độ lên tới 35 độ lận.)"
露点,"ろてん「LỘ ĐIỂM」 điểm sương mù
A: 今朝、窓が曇ってたよ。
(Sáng nay cửa sổ bị mờ hơi nước đấy.)

B: それは露点に達したからだね。
(Đó là vì nhiệt độ đã chạm đến điểm sương rồi.)"
気圧,"きあつ「KHÍ ÁP」 ◆ Áp suất không khí
今日は気圧が低いです。
Hôm nay áp suất không khí thấp"
実況,"じっきょう「THỰC HUỐNG」 ◆ Tình hình thực tế, tường thuật trực tiếp -live stream
サッカーの試合を実況する。
Tường thuật trực tiếp trận đấu bóng đá"
観測,"かんそく「QUAN TRẮC」 quan sát, quan trắc, đo đạc
観測データを分析する。
Phân tích dữ liệu quan sát"
分析,"ぶんせき「PHÂN TÍCH」 phân tích
観測データを分析する。
Phân tích dữ liệu quan sát"
天候,"てんこう「THIÊN HẬU」 ◆ Thời tiết 
天候に恵まれて、旅行はとても楽しかった。
→ Nhờ thời tiết thuận lợi, chuyến du lịch rất vui.
恵まれる めぐまれる「HUỆ」 được ban cho, thuận lợi"
恵まれる,"めぐまれる「HUỆ」 được ban cho, thuận lợi
天候に恵まれて、旅行はとても楽しかった。
→ Nhờ thời tiết thuận lợi, chuyến du lịch rất vui."
急激,"きゅうげき「CẤP KÍCH」 đột ngột, đột biến
新しい駅ができて、しの人口が急激に増加している。Một nhà ga mới được xây dựng và dân số của Shino đang tăng lên nhanh chóng. "
しきい,"Ngưỡng cửa
障害しきい値: giá trị ngưỡng cửa lỗi"
