制約,"せいやく「CHẾ ƯỚC」 Ràng buộc, bị giới hạn
このシステムはメモリの制約を受けています。
Hệ thống này bị giới hạn bởi bộ nhớ."
ターゲット,"target 
FTチェックリストのターゲット
Mục tiêu của list check FT"
解消,"かいしょう「GIẢI TIÊU」 giải quyết, xóa bỏ, hoặc làm dịu đi
トラブルはすでに解消されました。
Sự cố đã được giải quyết rồi"
トラブル,"trouble sự cố
トラブルはすでに解消されました。
Sự cố đã được giải quyết rồi"
ビジネスロジック,"Business Logic : Lý luận kinh doanh
・ビジネスロジックは変更ない。
Login kinh doanh ko thay đổi"
構築,"こうちく「CẤU TRÚC」 xây dựng, thiết lập, hoặc cấu trúc hóa, build
新しいネットワークシステムを構築しました。
Đã xây dựng hệ thống mạng mới"
クライアント,"client - khách hàng
・クライアント(JAVA/Swing)は、web画面(JavaScript/Vue.js)に変更
Client đổi (JAVA/Swing) đổi thành (JavaScript/Vue.js)"
フロントエンド,"frontend 
"
フィールド,"field - trường
入力フィールド: các trường nhập"
"
無効","むこう「VÔ HIỆU」 vô hiệu- disable
無効な入力 - nhập vô hiệu "
"
バックエンド","backend 
バックエンド処理のエラーメッセージが適切に表示されること
Error message của xử lý BE thì được hiển thị đúng cách"
バリデーション,"validation - xác thực
フロントエンド処理のバリデーションが適切に動作すること
validation của xử lý frontend thì hành động đúng- thích hợp nhất"
オーバーフロー,"overflow - tràn
入力フィールドでのオーバーフロー動作が妥当であること
Các trường nhập liệu có hành vi tràn hợp lý"
ルーティング,"routing - lộ trình
ルーティングが正しく機能すること（遷移、History）
Lộ trình thì làm việc đúng"
リクエスト,request
レスポンスハンドリング,Response Handling -Xử lý phản hồi
欠落,"けつらく「KHIẾM LẠC」  thiếu sót, thiếu hụt, hoặc bị bỏ sót
報告書に重要な情報の欠落があります。
Trong báo cáo có thiếu thông tin quan trọng"
挿入,"そうにゅう「SÁP NHẬP」 chèn vào, nhét vào, hoặc đưa vào
文章に図を挿入しました。
Tôi đã chén hình ảnh vào trong bài viết"
個々,"ここ「CÁ」 = ずつ　:  từng / mỗi
個々人: kokojin: từng người"
直結,"ちょっけつ「TRỰC KẾT」 kết nối trực tiếp
エンジンが車軸に直結されている。
Động cơ được kết nối trực tiếp vs trục xe
車軸 しゃじく「XA TRỤC」 trục xe"
正誤,"せいご「CHÁNH NGỘ」 ◆ Đúng sai.
正誤問題 Bài tập chọn đúng sai"
随時,"ずいじ「TÙY THÌ」 ""bất cứ lúc nào cũng được"", ""luôn sẵn sàng"", hoặc ""khi cần thiết""
ご質問があれば、随時ご連絡ください。
Nếu bạn có câu hỏi, xin hãy liên hệ bất cứ lúc nào."
網羅,"もうら「VÕNG LA」 cover, bao quát toàn bộ, bao gồm đầy đủ
最新のデータを網羅したレポートです。
Báo cáo bao gồm đầy đủ dữ liệu mới nhất"
独立,"どくりつ「ĐỘC LẬP」 độc lập
ベトナム社会主義共和国 独立-自由-幸福
Nước CHXHCN Việt Nam độc lập - tự do - hạnh phúc
幸福 こうふく「HẠNH PHÚC」 hạnh phúc
共和 きょうわ「CỘNG HÒA」 cộng hòa"
過渡期,"かとき「QUÁ ĐỘ KÌ」 giai đoạn chuyển tiếp, giai đoạn quá độ
日本は今、デジタル社会への過渡期にある。
Nhật Bản hiện đang trong giai đoạn chuyển tiếp sang xã hội số."
属する,"ぞくする「CHÚC」 thuộc loại, thuộc nhóm
"
コンテナ,"container - chứa
アプリケーションはDockerコンテナで実行されます。
Ứng dụng được chạy trong container của Docker."
ロールバック,Rollback - quay trở lại trạng thái trước đó
ベンダー,vendor - người bán 
ドライバ,"driver 
最新のグラフィックドライバに更新してください。
Hãy cập nhật driver đồ họa mới nhất."
