～たばかり,Vừa mới làm
～に限る,"Chỉ có, chỉ giới hạn ở"
～とともに,"Cùng với, đi kèm, càng ~ càng"
～たび（に）,"Mỗi khi, mỗi lần"
～に過ぎない,"Chỉ là, khôn hơn"
～げ,Có vẻ
～つもりで,Có ý định
～Vるうちに/V～ないうち,"Trong lúc, trong lúc chưa"
～うる、える,"Có thể, đạt được"
～たとたん（に）,Ngay sau đó
～ばかりに,Chỉ vì
～だけあって/～だけに/だけ/～だけの,"Quả đúng là, tương xứng với"
～だらけ,"Toàn là, đầy là"
～っけ,Đúng không
～っこない,Tuyệt đối không
～っぱい,Thấy như là
～ついでに,Nhân tiện
～つつある,Dần dần đang
～つつも/,"～つつ Trong khi, đang"
～て以来,"Kể từ, suốt từ"
～てからでないと,/からでなければ Nếu không ~ thì cũng không
～てしかたがない,Không thể chịu được
～てたまらない/,"～てしようがない Rất, Không thể chịu được"
～でさえ/～さえ,Đến cả
～てならい,"Hết sức, vô cùng, chịu không nổi"
～ということだ,Nghe thấy nói là
～というものだ,"Nhằm, có nội dung"
～というものでもない,/ ～というものではない Không thể nói hết
～というより,Hơn là nói
～と言えば/というと,Nói về
～と言ったら,Nói đến
～と言っても,Dù nói là ~ nhưng
～としたら/～とすれば,Nếu
～ないことには,Nếu không~
～ながら（も）,"ấy thế mà, tuy nhiên"
～など/なんか/なんて,"Cỡ như, đến như, chẳn hạn như"
～にあって,Vì
～に応じて,"ứng với, đối với"
～における/,"～において ở, tại, trong"
～にかかわらず/,"～かかわりなく Bất chấp, không liên quan"
～に代わって,Thay cho
～に関する/に関して,Liên quan về
～に従って,"Cùng với, dựa theo"
～にしろ/,～にしても/～にせよ Dẫu là
～に対する,Đối với
～に違いない,"Nhất định, chắc chắn"
～について,Về việc
～につれて,Cùng với
～にとって,Đối với
～にともなって,"Cùng với, càng ~ càng ~"
～に反する,Trái lại
～にわたる/にわたって,"Suốt, trải suốt, trải khắp"
～はともかく（として）,"Để sau, khoan bàn"
～はもとより/～はもちろん,"Không chỉ, nói chi"
～はぬきにして/,"をぬぎにして Hãy bỏ ~ ra, bỏ đi"
～反面/,"～半面 Ngược lại, mặt khác"
～Ｖることだ/,Ｖないことだ Nên làm V/ không nên làm V
～べき/～べきではない,"Nên, không nên"
～向きだ/～向きに/～向きの,"Phù hợp, dành cho"
～向けだ/～向けに/～向けの,Thích hợp với
～も～なら～も、も～ば～も,Cũng ~ cũng
～やら～やら,Nào là ~ nào là
～よりほかない,Chẳng còn cách nào khác
～わけない,"Lẽ nào lại, làm sao ~ được"
～わけだ,"Phải rồi, là vì"
～わけではない/,"～わけでもない Không nhất thiết là, không phải"
～わけはない/わけがない,"Nên không thể, làm không được"
～わけにはいかない/,～わけにもいかない Phải
～を中心に（して）/～中心として,Lấy ~ làm trung tâm
～をつうじて/～をとおして,Thông qua
～を問わず/,～は問わず Không liên quan đến
～だけしか～ない,Chỉ
～てごらん（なさい）,Thử làm
～ものだ/,～もんだ Thường là
～ものだから/,もので Vì
～ものか,Nhất định không làm thế
～っぱなし,Để nguyên
～わりに（は）,"So với, vậy mà"
～くせに,Mặc dù ~ thế mà
～せいで,"Tại, tại vì"
～ことはない,"Không cần, không phải"
どんな　～ことか,~ Biết bao
～しかない/,"ほかない/ よりない/ ほかしかない/ よりほかない Phải, chỉ còn cách làm"
～（んだ）って,Nghe nói
～ばかりか,Không chỉ mà còn
～比べて,"So với, so sánh"
～V(bỏ,"masu)あげる/～あげる Làm xong, hoàn thành"
～V(bỏ,masu)きる/～きれる Làm hết
～V(bỏ,masu)かける Đang làm
～なあ,"Mong sao, ước gì, phải chi"
～ばよかった/,"～たらよかった Giá như, phải chi…. thì"
Vる/Vない　かな（あ）,Không nhỉ
～ところで,À này
～としても/,～としたって Cho dù
めったに～ない,Hiếm khi
少しも～ない,Một chút cũng không
まったく～ない,Hoàn toàn không
けっして～ない,Không bao giờ
その上/それに,Hơn nữa
それと/あと,Và
～のではないだろうか/～ないかと思う,"Ý kiến, chủ trương"
～んじゃない？/んじゃないかと思う,Biểu hiện trạng thái
～てしまう　＝ちゃう,"～でしまう　＝じゃう Sẽ làm, phải làm"
～ている　　＝てる,～でいる　　＝でる Đang làm
～ておく　　＝とく,～でおく　　＝どく Làm trước
～なければ　　＝なきゃ,Phải
～から　～にかけて,Từ ~ đến
～に加え,Thêm vào
～とは/,～というのは Nói về
最中,Đúng lúc đang làm
一方,"Mặt khác, ngày càng"
～からには,Vì đương nhiên
～ぎみ,Cảm thấy
～に決まっている,Chắc chắn rằng
～からといって,Trường hợp
～に基づき,"Dựa trên, làm cơ sở"
～をもとに（して）,Dựa trên cơ sở
～とか,"Hoặc là, và, nghe rằng"
～ばかりでなく,Không chỉ ~ mà còn
～をこめて,Dành cả ( tình cảm)
～をきっかけに,Cơ hội
～際に（は）,"Lúc, khi"
～おそれがある,"Lo sợ, e rằng"
