各々,"おのおの「CÁC」 - Mỗi, từng (người/vật); 意味: それぞれ、ひとりひとり; ポイント: 各自 (かくじ); 例文: 準備が終わったら、各々の席に戻ってください。"
打ち合わせ,"うちあわせ「ĐẢ HỢP」 - Cuộc họp bàn bạc, thảo luận trước; 意味: 前もって相談すること; ポイント: 会議前の打ち合わせ; 例文: 明日のイベントについて、スタッフと打ち合わせをした。"
礼儀,"れいぎ「LỄ NGHI」 - Lễ nghĩa, phép lịch sự; 意味: 社会生活の秩序を保つための作法; ポイント: 礼儀正しい、礼儀をわきまえる; 例文: 彼は目上の人に対して非常に礼儀正しい。"
訓練,"くんれん「HUẤN LUYỆN」 - Huấn luyện, đào tạo; 意味: 何かを習熟するために練習すること; ポイント: 避難訓練、厳しい訓練; 例文: 消防署の人が災害に備えて訓練を行っている。"
娯楽,ごらく「NGU LẠC」 - Giải trí; 意味: 仕事以外の楽しみ、遊び; ポイント: 娯楽施設、娯楽が少ない; 例文: この町には映画館などの娯楽がほとんどない。
当たり前,"あたりまえ「ĐƯƠNG TIỀN」 - Đương nhiên, hiển nhiên; 意味: 普通のこと、当然であること; ポイント: 当たり前のこと、当然; 例文: 借りたお金を返すのは、当たり前のことだ。"
あちこち,"あちこち - Khắp nơi, đây đó; 意味: いろいろな場所; ポイント: あちらこちら; 例文: 休みの日には、あちこち観光して回った。"
あらすじ,"あらすじ - Bản tóm tắt, cốt truyện; 意味: 物語の筋道、大体の内容; ポイント: 小説のあらすじ、映画のあらすじ; 例文: 読む前に、本の裏表紙にあるあらすじを確認した。"
呑気,"のんき「THÔN KHÍ」 - Vô tư, thong dong, lạc quan; 意味: 性格がゆったりしていて、細かいことを気にしないこと; ポイント: 呑気な性格、呑気に暮らす; 例文: 試験の前日なのに、彼は呑気にテレビを見ている。"
普段,"ふだん「PHỔ ĐOẠN」 - Thông thường, thường ngày; 意味: いつも、日常のこと; ポイント: 普段着、普段の生活; 例文: 普段は自炊しているが、週末は外食することが多い。"
黒字,"くろじ「HẮC TỰ」 - Có lãi, thặng dư; 意味: 支出より収入の方が多いこと; ポイント: ＜＞赤字 (Lỗ); 例文: 輸出が好調だったので、今月は貿易収支が黒字になった。"
感謝,"かんしゃ「CẢM TẠ」 - Cảm tạ, biết ơn; 意味: ありがたいと思う気持ち; ポイント: 感謝の気持ち、感謝を伝える; 例文: 困ったときに助けてくれた友人に心から感謝している。"
拒否,"きょひ「CỰ PHỦ」 - Từ chối, bác bỏ; 意味: 要求や提案を受け入れないこと; ポイント: 入国拒否、要求を拒否する; 例文: 彼は会社からの転勤の打診を拒否した。"
景色,けしき「CẢNH SẮC」 - Phong cảnh; 意味: 目に見える自然などの様子; ポイント: 景色がいい、絶景; 例文: 山の上から眺める景色は最高だった。
貿易,"ぼうえき「MẬU DỊCH」 - Ngoại thương, buôn bán quốc tế; 意味: 国と国の間で商品を売り買いすること; ポイント: 自由貿易、貿易摩擦; 例文: 日本は多くの国と貿易を行っている。"
防災,ぼうさい「PHÒNG TAI」 - Phòng chống thiên tai; 意味: 災害を防ぐこと; ポイント: 防災訓練、防災グッズ; 例文: earthquakesに備えて、防災グッズを準備しておく。
装置,"そうち「TRANG TRÍ」 - Thiết bị, bộ máy, hệ thống; 意味: ある目的のために備え付けられた道具や機械; ポイント: 安全装置、暖房装置; 例文: 工場に新しい排水処理装置が設置された。"
治療,"ちりょう「TRỊ LIÊU」 - Trị liệu, điều trị; 意味: 病気やけがをなおすこと; ポイント: 治療を受ける、集中治療; 例文: 歯の治療のために、しばらく通院しなければならない。"
医療,いりょう「Y LIÊU」 - Y tế; 意味: 病気を治したり、健康を保つこと; ポイント: 医療機関、最新の医療技術; 例文: この国は、離島での医療体制の整備が課題となっている。
針,はり「CHÂM」 - Cái kim; 意味: 裁縫や医療、時計などに使われる細く尖った道具; ポイント: 針に糸を通す、注射の針; 例文: 時計の針が午後3時を指している。
行事,"ぎょうじ「HÀNH SỰ」 - Sự kiện, lễ hội; 意味: 決まった形で行われる集まりや儀式; ポイント: 年中行事、学校行事; 例文: 日本にはお正月やお盆など、伝統的な行事が多い。"
供給,きょうきゅう「CUNG CẤP」 - Cung cấp; 意味: 必要に応じて物を与えること; ポイント: ＜＞需要 (Nhu cầu); 例文: 台風の影響で、電気の供給が一時的に止まってしまった。
設備,"せつび「THIẾT BỊ」 - Thiết bị, trang thiết bị; 意味: 必要なものを備え付けること、その機械; ポイント: 暖房設備、最新の設備を備える; 例文: このマンションは、セキュリティの設備が充実している。"
建設,けんせつ「KIẾN THIẾT」 - Xây dựng; 意味: 建物や道路などを作ること; ポイント: 建設工事、新設; 例文: 駅の前に新しいショッピングモールを建設中だ。
印刷,いんさつ「ẤN LOÁT」 - In ấn; 意味: 文字や画像を紙などに刷ること; ポイント: カラー印刷、印刷部数; 例文: 資料を50部印刷して、会議室に運んでください。
貨物,かもつ「HÓA VẬT」 - Hàng hóa (vận chuyển); 意味: 運送される品物; ポイント: 貨物列車、貨物船; 例文: 港には、海外から届いた貨物がたくさん積まれている。
延期,えんき「DIÊN KỲ」 - Trì hoãn; 意味: 決まった期日を先に延ばすこと; ポイント: 雨天延期、開催を延期する; 例文: 大雨のため、楽しみにしていた遠足は来週に延期された。
